Rk,Player,G,A,PTS,+/-,PIM,GoalsEV,GoalsPP,GoalsSH,GoalsGW,AssistsEV,AssistsPP,AssistsSH,S,S%,SHFT,TOI,Team,Opp,Loc,Date,Season,Cumulative_Goals,Cumulative_Points,Cumulative_Game,Cumulative_PIM,Cumulative_Shots,G_p_Gm,A_p_Gm,Pts_p_Gm,PIM_p_Gm,Shots_p_Gm,G_Lg_Avg,A_Lg_Avg,Pts_Lg_Avg,PIM_Lg_Avg,Cumul_PPG,Cumul_GPG,Cumul_SPG,Rel_Goals,Rel_Assists,Rel_PIM
11,Michael Grabner,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,24,18.066666666666663,Arizona Coyotes,Calgary Flames,Home,20190307,Regular_1819,0,0,1,0,5,0.1875,0.125,0.3125,0,1.5,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,5,1.1774178832116788,0.4702120682116309,0
12,Vinnie Hinostroza,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,17.373333333333335,Arizona Coyotes,Calgary Flames,Home,20190307,Regular_1819,0,0,1,0,3,0.3125,0.25,0.5625,0.25,3.125,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,3,1.9623631386861313,0.9404241364232618,0.62758972862562
13,Niklas Hjalmarsson,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,27,23.46666666666667,Arizona Coyotes,Calgary Flames,Home,20190307,Regular_1819,0,0,1,0,1,0,0,0,0.375,0.6875,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,0,0,0.94138459293843
14,Clayton Keller,1,0,1,2,0,1,0,0,1,0,0,0,4,25.0,22,15.573333333333332,Arizona Coyotes,Calgary Flames,Home,20190307,Regular_1819,1,1,1,0,4,0.125,0.25,0.375,0.125,2.625,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,1,1,4,0.7849452554744525,0.9404241364232618,0.31379486431281
15,Mario Kempe,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,11.34666666666667,Arizona Coyotes,Calgary Flames,Home,20190307,Regular_1819,0,0,1,0,1,0.1111111111111111,0,0.1111111111111111,0,1.1111111111111112,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,0.697729115977291,0,0
16,Jordan Oesterle,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,17.146666666666665,Arizona Coyotes,Calgary Flames,Home,20190307,Regular_1819,0,0,1,0,0,0,0,0,0.13333333333333333,1.0666666666666667,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,0,0,0,0.334714521933664
17,Richard Panik,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,21,14.773333333333332,Arizona Coyotes,Calgary Flames,Home,20190307,Regular_1819,0,0,1,0,2,0.2,0.06666666666666667,0.26666666666666666,0.6666666666666666,2.2,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,2,1.255912408759124,0.2507797697128698,1.67357260966832
18,Brad Richardson,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,17.879999999999995,Arizona Coyotes,Calgary Flames,Home,20190307,Regular_1819,0,0,1,0,1,0.1875,0.1875,0.375,0,1.875,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,1.1774178832116788,0.7053181023174464,0
1,Aleksander Barkov,1,1,2,0,2,0,1,0,0,0,1,0,3,33.3,28,21.040000000000003,Florida Panthers,Boston Bruins,Away,20190307,Regular_1819,1,2,1,2,3,0.4375,1.3125,1.75,0.375,2.3125,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,2,1,3,2.7473083941605836,4.937226716222125,0.94138459293843
2,Henrik Borgström,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,10.293333333333331,Florida Panthers,Boston Bruins,Away,20190307,Regular_1819,0,0,1,0,1,0,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.6,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,0,1.0031190788514792,0.334714521933664
3,Troy Brouwer,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,16.2,Florida Panthers,Boston Bruins,Away,20190307,Regular_1819,0,0,1,0,1,0.1875,0.125,0.3125,1.1875,1,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,1.1774178832116788,0.4702120682116309,2.981051210971695
4,Josh Brown,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,11.373333333333335,Florida Panthers,Boston Bruins,Away,20190307,Regular_1819,0,0,1,0,1,0.0625,0.0625,0.125,1.0625,1.0625,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,0.39247262773722624,0.23510603410581546,2.6672563466588852
5,Evgenii Dadonov,0,1,1,1,0,0,0,0,0,1,0,0,0,,22,15.199999999999998,Florida Panthers,Boston Bruins,Away,20190307,Regular_1819,0,1,1,0,0,0.375,0.9375,1.3125,0.25,1.875,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,1,0,0,2.3548357664233577,3.5265905115872322,0.62758972862562
6,Aaron Ekblad,0,1,1,-2,0,0,0,0,0,1,0,0,0,,34,24.093333333333334,Florida Panthers,Boston Bruins,Away,20190307,Regular_1819,0,1,1,0,0,0.0625,0.4375,0.5,0.625,2,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,1,0,0,0.39247262773722624,1.6457422387407084,1.5689743215640501
7,Jayce Hawryluk,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,12,7.039999999999999,Florida Panthers,Boston Bruins,Away,20190307,Regular_1819,0,0,1,0,4,0.25,0.16666666666666666,0.4166666666666667,0.5,1.25,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,4,1.569890510948905,0.6269494242821746,1.25517945725124
8,Mike Hoffman,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,25,20.986666666666668,Florida Panthers,Boston Bruins,Away,20190307,Regular_1819,0,0,1,2,2,0.375,0.3125,0.6875,0.5,2.5625,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,2,2.3548357664233577,1.1755301705290773,1.25517945725124
9,Jonathan Huberdeau,2,1,3,1,0,1,1,0,0,0,1,0,5,40.0,22,17.933333333333337,Florida Panthers,Boston Bruins,Away,20190307,Regular_1819,2,3,1,0,5,0.75,0.9375,1.6875,0.375,3.125,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,3,2,5,4.709671532846715,3.5265905115872322,0.94138459293843
10,Dryden Hunt,0,0,0,-1,2,0,0,0,0,0,0,0,0,,15,10.24,Florida Panthers,Boston Bruins,Away,20190307,Regular_1819,0,0,1,2,0,0.25,0.25,0.5,0.3333333333333333,1.9166666666666667,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,0,1.569890510948905,0.9404241364232618,0.83678630483416
11,Mike Matheson,0,0,0,-2,0,0,0,0,0,0,0,0,0,,34,24.2,Florida Panthers,Boston Bruins,Away,20190307,Regular_1819,0,0,1,0,0,0.2,0.2,0.4,0.8,1.6666666666666667,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,0,1.255912408759124,0.7523393091386096,2.008287131601984
12,Jamie McGinn,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,9.64,Florida Panthers,Boston Bruins,Away,20190307,Regular_1819,0,0,1,0,0,0.18181818181818182,0,0.18181818181818182,0,1,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,0,1.1417385534173854,0,0
13,Mark Pysyk,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,13.853333333333333,Florida Panthers,Boston Bruins,Away,20190307,Regular_1819,0,0,1,0,0,0,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.6,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,0,0,0.2507797697128698,0.669429043867328
14,Riley Sheahan,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,22,15.386666666666665,Florida Panthers,Boston Bruins,Away,20190307,Regular_1819,0,0,1,0,1,0.0625,0.1875,0.25,0.25,1.5,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,0.39247262773722624,0.7053181023174464,0.62758972862562
15,Vincent Trocheck,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,26,22.2,Florida Panthers,Boston Bruins,Away,20190307,Regular_1819,0,0,1,2,1,0.1875,0.3125,0.5,1,2.6875,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,1.1774178832116788,1.1755301705290773,2.51035891450248
16,Frank Vatrano,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,15.186666666666667,Florida Panthers,Boston Bruins,Away,20190307,Regular_1819,0,0,1,0,1,0.25,0.0625,0.3125,0.375,2.8125,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,1.569890510948905,0.23510603410581546,0.94138459293843
17,MacKenzie Weegar,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,30,21.28,Florida Panthers,Boston Bruins,Away,20190307,Regular_1819,0,0,1,0,2,0.1875,0.1875,0.375,1,1.25,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,2,1.1774178832116788,0.7053181023174464,2.51035891450248
18,Keith Yandle,0,2,2,0,0,0,0,0,0,0,2,0,3,0.0,33,22.666666666666668,Florida Panthers,Boston Bruins,Away,20190307,Regular_1819,0,2,1,0,3,0,0.625,0.625,0.375,2.1875,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,2,0,3,0,2.3510603410581545,0.94138459293843
1,Noel Acciari,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,14.439999999999998,Boston Bruins,Florida Panthers,Home,20190307,Regular_1819,0,0,1,0,0,0.2,0.2,0.4,1.6,1.5333333333333334,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,0,1.255912408759124,0.7523393091386096,4.016574263203968
2,David Backes,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,11,9.64,Boston Bruins,Florida Panthers,Home,20190307,Regular_1819,0,1,1,0,2,0.125,0.25,0.375,0.375,2,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,1,0,2,0.7849452554744525,0.9404241364232618,0.94138459293843
3,Patrice Bergeron,2,0,2,2,0,1,0,1,1,0,0,0,2,100.0,24,19.546666666666663,Boston Bruins,Florida Panthers,Home,20190307,Regular_1819,2,2,1,0,2,0.6,0.6666666666666666,1.2666666666666666,0.26666666666666666,3.1333333333333333,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,2,2,2,3.767737226277372,2.5077976971286984,0.669429043867328
4,Brandon Carlo,0,0,0,1,2,0,0,0,0,0,0,0,3,0.0,25,21.399999999999995,Boston Bruins,Florida Panthers,Home,20190307,Regular_1819,0,0,1,2,3,0.06666666666666667,0.13333333333333333,0.2,0.5333333333333333,1.8666666666666667,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,3,0.41863746958637466,0.5015595394257396,1.338858087734656
5,Peter Cehlarik,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,16.72,Boston Bruins,Florida Panthers,Home,20190307,Regular_1819,0,0,1,0,1,0,0,0,0,1.5,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,0,0,0
6,Zdeno Chara,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,24,18.439999999999998,Boston Bruins,Florida Panthers,Home,20190307,Regular_1819,0,0,1,2,1,0.06666666666666667,0.2,0.26666666666666666,0.7333333333333333,2.066666666666667,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,0.41863746958637466,0.7523393091386096,1.840929870635152
7,Charlie Coyle,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,14.386666666666665,Boston Bruins,Florida Panthers,Home,20190307,Regular_1819,0,0,1,0,2,0.125,0.25,0.375,0.125,2.25,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,2,0.7849452554744525,0.9404241364232618,0.31379486431281
8,Matt Grzelcyk,1,0,1,0,2,0,1,0,0,0,0,0,1,100.0,22,14.666666666666666,Boston Bruins,Florida Panthers,Home,20190307,Regular_1819,1,1,1,2,1,0.25,0.25,0.5,1,0.875,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,1,1,1,1.569890510948905,0.9404241364232618,2.51035891450248
9,Danton Heinen,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,18,16.560000000000002,Boston Bruins,Florida Panthers,Home,20190307,Regular_1819,0,1,1,0,1,0.13333333333333333,0.5333333333333333,0.6666666666666666,0.26666666666666666,1.3333333333333333,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,1,0,1,0.8372749391727493,2.0062381577029584,0.669429043867328
10,David Krejci,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,18,20.293333333333333,Boston Bruins,Florida Panthers,Home,20190307,Regular_1819,1,1,1,0,5,0.26666666666666666,0.8,1.0666666666666667,0,1.6666666666666667,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,1,1,5,1.6745498783454986,3.0093572365544383,0
11,Torey Krug,0,0,0,1,2,0,0,0,0,0,0,0,4,0.0,24,23.320000000000004,Boston Bruins,Florida Panthers,Home,20190307,Regular_1819,0,0,1,2,4,0,0.7777777777777778,0.7777777777777778,0.4444444444444444,2.6666666666666665,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,4,0,2.9257639799834814,1.1157150731122134
12,Karson Kuhlman,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,12.373333333333335,Boston Bruins,Florida Panthers,Home,20190307,Regular_1819,0,0,1,0,0,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,1.5714285714285714,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,0,1.7941605839416057,0.5373852208132924,0.7172454041435657
13,Sean Kuraly,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13.306666666666667,Boston Bruins,Florida Panthers,Home,20190307,Regular_1819,0,0,1,0,1,0.25,0.25,0.5,0,1.75,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,1.569890510948905,0.9404241364232618,0
14,Brad Marchand,0,3,3,2,0,0,0,0,0,1,1,1,1,0.0,25,21.320000000000004,Boston Bruins,Florida Panthers,Home,20190307,Regular_1819,0,3,1,0,1,0.6428571428571429,1,1.6428571428571428,0.5714285714285714,3,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,3,0,1,4.036861313868613,3.7616965456930473,1.4344908082871315
15,Charlie McAvoy,0,2,2,1,0,0,0,0,0,0,1,1,1,0.0,27,24.546666666666663,Boston Bruins,Florida Panthers,Home,20190307,Regular_1819,0,2,1,0,1,0.13333333333333333,0.4666666666666667,0.6,1.4,1.8666666666666667,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,2,0,1,0.8372749391727493,1.755458387990089,3.514502480303472
16,John Moore,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,15.253333333333336,Boston Bruins,Florida Panthers,Home,20190307,Regular_1819,0,0,1,0,1,0.1,0.2,0.3,0,0.9,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,0.627956204379562,0.7523393091386096,0
17,Joakim Nordstrom,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,10.066666666666668,Boston Bruins,Florida Panthers,Home,20190307,Regular_1819,0,0,1,0,1,0.125,0.125,0.25,0.125,1,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,0.7849452554744525,0.4702120682116309,0.31379486431281
18,Chris Wagner,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,19,13.24,Boston Bruins,Florida Panthers,Home,20190307,Regular_1819,0,0,1,2,1,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.3076923076923077,1.3076923076923077,0.15924677438102988,0.2658374985470185,0.42508427292804835,0.3983494129954667,0,0,1,0.9660864682762493,0.28936127274561907,0.7724181275392247
